"Date","Start (ET)","Visitor/Neutral","Visitor/Neutral PTS","Home/Neutral","Home/Neutral PTS","Attendance","Notes"
"1996-11-07","","Orlando Magic","108","New Jersey Nets","95","38639","at Tokyo, Japan"
"1996-11-08","","New Jersey Nets","82","Orlando Magic","86","38639","at Tokyo, Japan"
"1996-11-30","","New Jersey Nets","106","Los Angeles Clippers","95","11519","at Anaheim, CA"
"1996-12-16","","Phoenix Suns","121","Los Angeles Clippers","122","12049","at Anaheim, CA"
"1996-12-26","","New Jersey Nets","96","Toronto Raptors","98","16630","at Hamilton, Canada"
"1996-12-28","","Atlanta Hawks","86","Washington Bullets","97","11797","at Baltimore, MD"
"1997-01-17","","Miami Heat","103","Washington Bullets","92","12756","at Baltimore, MD"
"1997-01-23","","Seattle SuperSonics","100","Los Angeles Clippers","102","16227","at Anaheim, CA"
"1997-02-04","","Los Angeles Lakers","86","Los Angeles Clippers","108","18462","at Anaheim, CA"
"1997-02-14","","Milwaukee Bucks","106","Toronto Raptors","102","15193","at Toronto, Canada (Maple Leaf Gardens)"
"1997-02-14","","New Jersey Nets","107","Washington Bullets","125","10642","at Baltimore, MD"
"1997-02-16","","Detroit Pistons","92","Toronto Raptors","89","15492","at Toronto, Canada (Maple Leaf Gardens)"
"1997-03-06","","Orlando Magic","94","Los Angeles Clippers","93","14916","at Anaheim, CA"
"1997-03-18","","Philadelphia 76ers","105","Toronto Raptors","117","15219","at Toronto, Canada (Maple Leaf Gardens)"
"1997-03-29","","Dallas Mavericks","87","Washington Bullets","94","11269","at Baltimore, MD"
"1997-04-12","","Denver Nuggets","94","Los Angeles Clippers","116","18211","at Anaheim, CA"
"1997-06-08","","Chicago Bulls","73","Utah Jazz","78","19911","GatorLode Game"
"1997-06-11","","Chicago Bulls","90","Utah Jazz","88","19911","MJ's Flu Game"
"1997-11-01","","Toronto Raptors","85","Atlanta Hawks","90","8539","at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)"
"1997-11-01","","Miami Heat","109","Washington Wizards","108","18281","at Landover, MD"
"1997-11-07","","Charlotte Hornets","107","Washington Wizards","92","18756","at Landover, MD"
"1997-11-08","","Phoenix Suns","123","Los Angeles Clippers","105","12906","at Anaheim, CA"
"1997-11-15","","Orlando Magic","102","Washington Wizards","91","18756","at Landover, MD"
"1997-11-16","","Los Angeles Clippers","83","Atlanta Hawks","89","8388","at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)"
"1997-11-21","","New York Knicks","104","Washington Wizards","82","18756","at Landover, MD"
"1997-11-28","","New Jersey Nets","104","Los Angeles Clippers","92","11030","at Anaheim, CA"
"1997-11-29","","Chicago Bulls","88","Washington Wizards","83","18756","at Landover, MD"
"1997-12-06","","Houston Rockets","108","Dallas Mavericks","106","20635","at Mexico City, Mexico"
"1997-12-09","","Miami Heat","97","Atlanta Hawks","81","9156","at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)"
"1997-12-18","","Golden State Warriors","78","Los Angeles Clippers","82","11380","at Anaheim, CA"
"1998-01-09","","Washington Wizards","77","Atlanta Hawks","82","9356","at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)"
"1998-01-14","","Dallas Mavericks","82","Atlanta Hawks","108","8592","at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)"
"1998-01-16","","Golden State Warriors","89","Atlanta Hawks","102","8778","at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)"
"1998-01-22","","Detroit Pistons","94","Los Angeles Clippers","76","12677","at Anaheim, CA"
"1998-01-29","","Philadelphia 76ers","99","Atlanta Hawks","109","8533","at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)"
"1998-02-03","","Utah Jazz","102","Los Angeles Clippers","111","13553","at Anaheim, CA"
"1998-02-18","","New Jersey Nets","104","Atlanta Hawks","114","8449","at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)"
"1998-02-19","","Miami Heat","89","Los Angeles Clippers","80","13157","at Anaheim, CA"
"1998-02-20","","Vancouver Grizzlies","92","Atlanta Hawks","115","9022","at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)"
"1998-03-06","","Denver Nuggets","94","Atlanta Hawks","115","8827","at Atlanta, GA (Alexander Memorial Coliseum at McDonald's Center)"
